[79394]: 13-12	IORB created: 77579
[79514]: 12-23	IORB created: 77641
[79799]: 23-14	IORB created: 77714
[79874]: 14-17	IORB created: 77881
[80054]: 17-17	IORB created: 78119
[80219]: 17-9	IORB created: 78239
[80264]: 9-15	IORB created: 78524
[80459]: 15-21	IORB created: 78734
[80699]: 21-3	IORB created: 79029
[80834]: 3-10	IORB created: 79034
[80999]: 10-18	IORB created: 79392
[81224]: 18-19	IORB created: 79394
[81404]: 19-5	IORB created: 79799
[81494]: 5-16	IORB created: 79874
[81734]: 16-12	IORB created: 79999
[81824]: 12-4	IORB created: 80000
[81884]: 4-10	IORB created: 80054
[82034]: 10-5	IORB created: 80264
[82064]: 5-0	IORB created: 80834
[82124]: 0-5	IORB created: 80999
[82229]: 5-21	IORB created: 81022
[82544]: 21-11	IORB created: 81219
[82589]: 11-18	IORB created: 81244
[82814]: 18-10	IORB created: 81404
[82859]: 10-14	IORB created: 81494
[83024]: 14-13	IORB created: 81824
[83144]: 13-18	IORB created: 81871
[83354]: 18-16	IORB created: 82034
[83489]: 16-6	IORB created: 82104
[83549]: 6-4	IORB created: 82190
[83594]: 4-6	IORB created: 82377
[83684]: 6-23	IORB created: 82544
[84014]: 23-18	IORB created: 82589
[84149]: 18-19	IORB created: 82814
[84329]: 19-5	IORB created: 83024
[84419]: 5-10	IORB created: 83144
[84569]: 10-16	IORB created: 83354
[84764]: 16-20	IORB created: 83515
[84974]: 20-5	IORB created: 83549
[85079]: 5-0	IORB created: 83594
[85139]: 0-10	IORB created: 83684
[85319]: 10-17	IORB created: 84014
[85529]: 17-9	IORB created: 84149
[85574]: 9-12	IORB created: 84576
[85724]: 12-7	IORB created: 84991
[85769]: 7-17	IORB created: 85070
[86009]: 17-19	IORB created: 85300
[86204]: 19-18	IORB created: 85313
[86369]: 18-5	IORB created: 85319
[86459]: 5-7	IORB created: 85484
[86564]: 7-2	IORB created: 85513
[86609]: 2-21	IORB created: 85529
[86939]: 21-16	IORB created: 85574
[87059]: 16-5	IORB created: 85724
[87134]: 5-13	IORB created: 85769
[87329]: 13-13	IORB created: 86009
[87464]: 13-19	IORB created: 86295
[87689]: 19-0	IORB created: 86609
[87854]: 0-6	IORB created: 86930
[87974]: 6-21	IORB created: 87099
[88274]: 21-10	IORB created: 87134
[88304]: 10-5	IORB created: 87329
[88334]: 5-16	IORB created: 87464
[88574]: 16-13	IORB created: 87583
[88679]: 13-18	IORB created: 87689
[88889]: 18-25	IORB created: 87803
[89159]: 25-3	IORB created: 87917
[89324]: 3-10	IORB created: 87974
[89489]: 10-19	IORB created: 88029
[89729]: 19-6	IORB created: 88274
[89804]: 6-6	IORB created: 88344
[89879]: 6-10	IORB created: 88679
[90014]: 10-9	IORB created: 88882
[90104]: 9-20	IORB created: 88933
[90374]: 20-21	IORB created: 88952
[90569]: 21-21	IORB created: 89159
[90764]: 21-18	IORB created: 89324
[90914]: 18-20	IORB created: 89489
[91109]: 20-19	IORB created: 89729
[91274]: 19-16	IORB created: 89804
[91409]: 16-6	IORB created: 90000
[91469]: 6-10	IORB created: 90049
[91604]: 10-9	IORB created: 90051
[91694]: 9-9	IORB created: 90374
[91799]: 9-21	IORB created: 90687
[92084]: 21-18	IORB created: 90687
[92234]: 18-24	IORB created: 90819
[92489]: 24-0	IORB created: 90914
[92699]: 0-5	IORB created: 91109
[92804]: 5-17	IORB created: 91290
[93059]: 17-10	IORB created: 91604
[93119]: 10-10	IORB created: 91662
[93224]: 10-17	IORB created: 91676
[93434]: 17-21	IORB created: 91694
[93659]: 21-16	IORB created: 91799
[93779]: 16-10	IORB created: 92084
[93839]: 10-20	IORB created: 92234
[94094]: 20-7	IORB created: 92489
[94169]: 7-18	IORB created: 92685
[94424]: 18-2	IORB created: 92687
[94559]: 2-16	IORB created: 93059
[94814]: 16-11	IORB created: 93224
[94889]: 11-3	IORB created: 93263
[94949]: 3-6	IORB created: 93274
[95054]: 6-3	IORB created: 93434
[95084]: 3-5	IORB created: 93659
[95174]: 5-5	IORB created: 93839
[95249]: 5-10	IORB created: 94094
[95399]: 10-21	IORB created: 94169
[95669]: 21-20	IORB created: 94214
[95849]: 20-27	IORB created: 94424
[96134]: 27-30	IORB created: 94559
[96419]: 30-0	IORB created: 94949
[96674]: 0-5	IORB created: 95054
[96779]: 5-16	IORB created: 95084
[97019]: 16-16	IORB created: 95399
[97169]: 16-7	IORB created: 95567
[97214]: 7-8	IORB created: 95574
[97319]: 8-25	IORB created: 95770
[97664]: 25-12	IORB created: 95793
[97694]: 12-17	IORB created: 95849
[97889]: 17-26	IORB created: 96134
[98189]: 26-26	IORB created: 96419
[98414]: 26-20	IORB created: 97027
[98549]: 20-5	IORB created: 97214
[98654]: 5-5	IORB created: 97319
[98729]: 5-16	IORB created: 97320
[98969]: 16-17	IORB created: 97539
[99134]: 17-3	IORB created: 97664
[99239]: 3-10	IORB created: 97694
[99404]: 10-10	IORB created: 97889
[99509]: 10-27	IORB created: 98233
[99869]: 27-31	IORB created: 98516
[100169]: 31-10	IORB created: 98735
[100274]: 10-8	IORB created: 98907
[100349]: 8-19	IORB created: 98978
[100604]: 19-20	IORB created: 99034
