[58477]: 9-11	IORB created: 57637
[58612]: 11-11	IORB created: 56932
[58732]: 11-16	IORB created: 57127
[58927]: 16-0	IORB created: 58732
[59077]: 0-5	IORB created: 58851
[59182]: 5-5	IORB created: 58477
[59257]: 5-8	IORB created: 58562
[59377]: 8-10	IORB created: 58612
[59497]: 10-21	IORB created: 58357
[59767]: 21-5	IORB created: 59377
[59872]: 5-5	IORB created: 59182
[59947]: 5-7	IORB created: 59088
[60052]: 7-13	IORB created: 59044
[60232]: 13-16	IORB created: 59122
[60412]: 16-22	IORB created: 58988
[60652]: 22-5	IORB created: 60188
[60772]: 5-5	IORB created: 60052
[60847]: 5-6	IORB created: 60075
[60937]: 6-8	IORB created: 60412
[61042]: 8-10	IORB created: 60232
[61162]: 10-10	IORB created: 60000
[61267]: 10-12	IORB created: 59843
[61402]: 12-14	IORB created: 60387
[61552]: 14-25	IORB created: 60363
[61852]: 25-5	IORB created: 60937
[61987]: 5-5	IORB created: 60652
[62062]: 5-7	IORB created: 60949
[62167]: 7-8	IORB created: 60772
[62272]: 8-10	IORB created: 61402
[62392]: 10-13	IORB created: 61552
[62542]: 13-13	IORB created: 61181
[62677]: 13-16	IORB created: 61042
[62857]: 16-0	IORB created: 62272
[63007]: 0-10	IORB created: 62677
[63187]: 10-7	IORB created: 62167
[63247]: 7-9	IORB created: 62060
[63367]: 9-10	IORB created: 62542
[63487]: 10-14	IORB created: 62503
[63652]: 14-21	IORB created: 62062
[63892]: 21-23	IORB created: 62048
[64117]: 23-25	IORB created: 62221
[64357]: 25-4	IORB created: 63221
[64507]: 4-5	IORB created: 63655
[64582]: 5-5	IORB created: 63367
[64657]: 5-5	IORB created: 63247
[64732]: 5-10	IORB created: 63652
[64882]: 10-11	IORB created: 63644
[65002]: 11-13	IORB created: 63751
[65152]: 13-13	IORB created: 63646
[65287]: 13-21	IORB created: 64117
[65542]: 21-23	IORB created: 64121
[65767]: 23-6	IORB created: 64582
[65872]: 6-6	IORB created: 64357
[65947]: 6-9	IORB created: 64807
[66067]: 9-10	IORB created: 65002
[66187]: 10-14	IORB created: 65287
[66352]: 14-15	IORB created: 64941
[66502]: 15-19	IORB created: 65152
[66712]: 19-26	IORB created: 64507
[66997]: 26-6	IORB created: 66667
[67132]: 6-7	IORB created: 66734
[67222]: 7-9	IORB created: 66712
[67342]: 9-9	IORB created: 65872
[67447]: 9-10	IORB created: 66502
[67567]: 10-10	IORB created: 66352
[67672]: 10-15	IORB created: 66416
[67852]: 15-21	IORB created: 65767
[68092]: 21-23	IORB created: 65805
[68317]: 23-0	IORB created: 66997
[68512]: 0-1	IORB created: 67282
[68557]: 1-5	IORB created: 67447
[68662]: 5-6	IORB created: 67170
[68752]: 6-10	IORB created: 67852
[68887]: 10-12	IORB created: 67901
[69022]: 12-12	IORB created: 67591
[69142]: 12-15	IORB created: 67330
[69307]: 15-16	IORB created: 67342
[69472]: 16-21	IORB created: 67222
[69697]: 21-24	IORB created: 68098
[69937]: 24-2	IORB created: 69300
